age,income,loan_amount,credit_score,employment_years,debt_to_income,gender,ethnicity,loan_approved
68,103309,33369,382,29,0.15302189682991765,Female,Asian,1
24,146446,31512,485,12,0.4136943446855356,Female,Asian,0
38,82046,11716,551,15,0.7264669496478836,Female,White,0
26,126661,26259,654,4,0.6434995313101606,Female,Hispanic,0
56,46143,33933,509,27,0.05266387469052303,Male,Black,0
35,26154,46689,746,38,0.5540582400620655,Male,Asian,1
21,41804,9378,759,19,0.457518017967163,Male,White,1
42,61688,45583,771,23,0.7259705410771404,Female,Hispanic,1
31,84288,24835,669,26,0.0979851334802378,Female,Black,1
67,71195,34033,791,29,0.4272288905637253,Male,Hispanic,1
26,40581,29000,436,26,0.7035701548095139,Male,White,0
43,72648,15332,666,25,0.32801902939339445,Female,White,0
19,50087,47604,483,6,0.3855959341862937,Male,White,0
37,69930,7800,586,37,0.05636854213356664,Female,Asian,1
45,52981,34538,771,4,0.22251491235912868,Female,White,1
64,89298,35119,674,22,0.2596053193351579,Female,Black,1
24,66167,13333,836,27,0.7560979589959096,Female,Asian,1
61,95304,10410,810,33,0.22613388843292725,Female,Hispanic,1
25,63408,22839,549,14,0.3686949882157216,Female,Black,0
64,59499,35519,809,31,0.5370435388514239,Male,Asian,1
52,145816,10808,372,25,0.12974669792630192,Male,White,1
31,72269,11796,581,30,0.3891539097134996,Male,Hispanic,0
34,58559,26180,659,18,0.5908312315807261,Female,White,0
53,134126,48056,309,8,0.6934841704216529,Male,Black,0
67,94319,22709,510,28,0.5010074197299413,Female,Black,0
57,131925,22543,451,38,0.5352428122535583,Female,Asian,0
21,115317,42418,304,3,0.10102677806765517,Female,Black,0
19,116347,34075,494,2,0.7566211977970778,Female,Hispanic,0
23,68787,42755,582,28,0.10605926198758589,Male,Asian,1
59,55488,42465,763,10,0.6197383497454387,Male,Hispanic,0
21,94441,35502,412,32,0.21185305742265506,Male,White,1
46,94663,21724,570,37,0.7468745149610013,Female,Hispanic,0
35,42431,8828,462,10,0.5759676314955836,Male,Hispanic,0
43,81681,22087,759,26,0.6030509703826952,Male,Black,1
61,83483,17605,404,32,0.17524733844790666,Male,White,1
51,142720,36337,581,20,0.3544319813081287,Female,Black,0
27,69153,10482,461,38,0.49425055567142917,Male,White,1
53,26368,32005,650,30,0.6159788945652808,Female,White,0
31,47424,27760,733,37,0.08316750072991166,Male,Hispanic,1
48,132360,10463,439,1,0.7698922531636228,Female,Black,0
65,65004,9912,770,26,0.7121765364436449,Male,Hispanic,1
32,103869,9648,431,35,0.21627887239646748,Male,Hispanic,1
25,108652,38623,386,10,0.6582081944258656,Male,Hispanic,0
31,132755,40634,482,17,0.41465913843185875,Female,White,0
40,76985,49602,667,0,0.36944518524961495,Male,Black,1
57,70069,8112,428,34,0.25154728464912435,Male,Black,1
38,72326,27054,545,34,0.464774869305274,Female,Hispanic,0
33,128737,9492,677,30,0.5839112941628782,Female,White,1
62,101061,27207,448,27,0.32874632397020664,Female,Black,0
35,43398,20114,732,38,0.5033753544066337,Female,Asian,1
64,118393,39285,768,0,0.5594503369242431,Male,Black,1
41,70861,21018,745,24,0.5688974536122288,Male,Hispanic,1
43,95897,26386,780,37,0.041572878504944205,Female,Asian,1
42,101905,22740,593,19,0.6877982445480536,Male,White,1
62,147118,49199,442,2,0.3666026518120384,Female,Asian,0
58,88577,13210,549,1,0.20993286535697156,Male,Asian,0
46,85641,49363,601,17,0.1934116059837453,Female,Hispanic,0
32,29078,17743,324,9,0.3864112902751604,Male,Black,0
62,45003,47092,369,4,0.7094652315751674,Female,White,0
18,82768,49299,411,8,0.3026780653461176,Female,Asian,0
42,71047,11588,663,1,0.5997805974268346,Male,Hispanic,1
24,91626,8311,602,33,0.07745498478977489,Male,Black,1
26,77660,27432,770,37,0.38084536172084943,Male,Asian,1
41,124386,38755,390,30,0.7933489123141886,Female,Hispanic,0
18,69786,8321,829,9,0.6163502422338696,Male,Hispanic,1
61,21925,20812,491,11,0.16842279075249042,Female,Hispanic,0
25,103976,42383,541,35,0.4011531789583286,Male,White,1
41,125221,18146,437,20,0.18689981091885324,Male,Black,1
28,137832,18654,644,5,0.3276487418100074,Female,Asian,0
68,145150,40820,479,2,0.6240672189879719,Female,Black,0
34,46015,5726,802,9,0.616979852232323,Male,Black,1
25,53320,8760,502,4,0.18248030232190812,Female,Asian,0
52,84881,27190,491,25,0.7377786545238881,Female,Black,0
52,110827,6875,304,20,0.4740545462118615,Male,White,1
50,140071,28377,536,25,0.30393943276961166,Female,Asian,1
22,122215,9033,610,37,0.4015484646246885,Male,Asian,0
59,46289,43211,848,25,0.484057002750195,Male,Hispanic,1
56,148859,22373,355,7,0.44791242547662835,Female,Black,0
58,23389,8744,742,4,0.38912402842894256,Male,Asian,1
45,45683,29995,536,14,0.4039462432715201,Female,Asian,0
24,33629,21977,496,15,0.14112952834230894,Male,White,1
26,81550,37402,813,0,0.6501863234437435,Female,Hispanic,1
25,44826,39542,748,15,0.4334082559528123,Female,Asian,0
29,120734,15651,659,36,0.10486388936376248,Female,White,1
51,46630,38703,329,2,0.6129256812662224,Female,Asian,0
50,118762,18395,407,30,0.7459551827018807,Female,Asian,0
65,66163,34808,744,12,0.7578455193895697,Male,Asian,1
40,118511,41576,737,15,0.2952141859289382,Male,White,1
41,86435,21715,756,20,0.10841349884860324,Female,Black,1
54,31653,49409,794,1,0.41471970130645214,Male,Asian,1
52,47961,29306,546,26,0.09008738347937656,Female,Asian,0
61,101941,24086,842,37,0.7471899348100939,Female,Black,1
57,94137,19376,738,25,0.1468637018841168,Male,Asian,1
39,53662,10889,577,37,0.20221268796093128,Male,Hispanic,0
44,118818,42822,410,24,0.32530922150797636,Female,Asian,0
52,76446,41636,684,10,0.30653157484730065,Female,Hispanic,0
18,41288,25584,490,7,0.6357303139183113,Female,Black,0
52,142555,39610,789,7,0.3650534564407699,Female,White,1
54,115081,15058,725,32,0.13661460800266953,Female,Black,1
64,56877,14101,704,6,0.21376791638885928,Female,Asian,0
31,131562,17497,634,37,0.40729070815001767,Male,Hispanic,0
20,35313,9658,508,20,0.11796313394090792,Female,White,0
18,100885,16381,321,7,0.4893245405168113,Female,Asian,0
22,92715,45312,507,20,0.45259784524091673,Male,White,0
43,30326,45486,307,19,0.5717618531058062,Female,White,0
31,130091,22154,828,7,0.7501636923034942,Female,Asian,1
56,145836,24539,465,30,0.7298036488809245,Male,Black,0
44,21560,16777,795,28,0.7568604944550651,Female,Asian,0
26,99148,39396,728,8,0.19577247761896077,Male,Asian,1
32,103186,35373,462,14,0.1052522453114837,Female,Black,0
32,46745,38154,665,29,0.24182136039715882,Male,Hispanic,0
43,51890,11031,825,25,0.7160681382130517,Male,Asian,0
59,40022,32997,538,9,0.7776427796987906,Male,White,0
30,143629,11439,371,28,0.6874599608563808,Female,Asian,0
68,72579,27785,744,15,0.08801417690203489,Female,Asian,1
49,90316,18392,808,35,0.7579423984478346,Male,White,1
56,103847,33669,568,19,0.3386864218806288,Male,Black,0
66,48380,33939,714,36,0.007448232609882944,Female,Hispanic,1
69,130198,7282,544,21,0.3539149925985549,Female,Hispanic,0
49,22356,39624,359,6,0.03685533574037408,Female,White,0
21,90326,29364,305,22,0.43510233692889405,Female,Black,0
47,112447,6998,706,39,0.27084322194964106,Female,Asian,1
54,134994,36705,516,28,0.37874794687523905,Male,Asian,1
40,109899,43244,325,15,0.49053628859449366,Female,Asian,0
56,40049,14428,304,37,0.6950408766542563,Male,Asian,0
62,95717,42437,831,27,0.529521261177543,Female,Asian,1
32,125361,17336,689,37,0.34723909478254456,Male,White,0
60,36082,14342,747,30,0.6555422829362921,Male,Asian,0
46,20661,44832,445,13,0.7244657100585058,Female,Asian,0
53,57412,12446,687,32,0.09580797314575779,Male,Black,1
30,134015,43392,548,8,0.42554638204223316,Male,Asian,1
49,143191,12461,825,26,0.22760956779395533,Male,Hispanic,1
24,22920,39587,761,23,0.03764895830155793,Male,White,1
68,111194,15516,312,12,0.5348373560911883,Female,White,0
39,134306,18749,683,25,0.6902166219673805,Male,White,1
45,80315,22514,698,28,0.13032212358191525,Female,Hispanic,0
19,99561,40426,318,27,0.6499309260991204,Male,Asian,0
59,28946,41268,790,27,0.6827165868295534,Female,White,0
62,114242,29950,718,7,0.7314723541331869,Female,Hispanic,1
23,65500,39888,636,22,0.21222807126884194,Female,Black,0
45,124540,41788,718,28,0.7231624521519114,Male,Asian,1
45,36309,15213,421,4,0.2565302037891458,Female,Hispanic,0
61,75230,41027,731,6,0.44187041076440225,Female,Asian,0
61,131822,33011,343,35,0.04040597666582571,Male,Black,1
37,118656,47849,616,26,0.035104870694994884,Female,Hispanic,1
47,143782,39591,680,1,0.5762985701857624,Male,Asian,1
28,50027,22858,444,24,0.3555839823822329,Male,Hispanic,0
45,146768,23626,626,8,0.20503390029537405,Female,White,1
42,92541,18467,662,26,0.15233079681992817,Male,Asian,1
56,132340,44758,349,0,0.5359627926873745,Male,Hispanic,0
50,134846,8134,364,22,0.0003212352202718982,Male,White,1
18,79321,21743,654,9,0.6447129353574834,Female,Black,0
44,20956,20434,463,24,0.06339968490394306,Male,Asian,0
69,120375,15233,440,2,0.15319169192649557,Male,Asian,0
30,94131,6141,427,5,0.3089891162392717,Male,Black,0
58,67908,23019,697,5,0.3878869917728829,Female,White,0
20,98339,25384,762,1,0.2839960926511535,Male,Black,1
56,145659,47903,486,17,0.2565697319874351,Female,Asian,0
23,45963,41129,489,22,0.7711328096585508,Male,Hispanic,0
25,121757,27967,687,1,0.5132637449947154,Female,White,0
44,59443,45603,728,11,0.018746364293910567,Female,White,1
26,119259,16172,583,21,0.3441407267554506,Female,White,0
54,59063,21390,536,36,0.7000069597951762,Male,Black,0
50,134225,8267,493,19,0.24116494912853437,Male,Black,0
68,136400,44332,586,38,0.07564507581951059,Male,Hispanic,0
59,100818,31167,435,23,0.6067078172719342,Female,Hispanic,0
61,24703,26312,470,19,0.48481106554886505,Male,White,0
41,85128,32840,458,0,0.45625000626120316,Male,Hispanic,0
32,92099,23990,500,0,0.04286124768592634,Female,Black,0
49,45849,49179,786,16,0.11239920783641387,Male,Hispanic,1
49,51860,10906,803,0,0.49803951697049104,Male,Black,1
41,51585,45379,670,29,0.16625907316706867,Female,Hispanic,0
58,42015,22297,402,2,0.40325606379873946,Female,Asian,0
69,97539,7011,424,10,0.4359053488235148,Male,Black,0
66,63585,49014,612,23,0.22680575221675153,Female,Asian,1
66,46958,16738,757,21,0.7587401244331944,Male,Black,1
69,46017,33797,529,25,0.6739712854684602,Male,Hispanic,0
29,96707,16120,496,12,0.5778988061062388,Male,Asian,0
56,144677,13767,722,0,0.06239509312752727,Male,Hispanic,1
19,65350,27852,470,23,0.08490401544721556,Male,Black,0
20,32201,18703,681,9,0.3942250766919646,Female,Asian,0
66,49426,5929,472,34,0.12857067935278854,Female,White,0
54,37778,16951,752,23,0.7826123708235793,Male,Hispanic,1
66,65241,31039,649,27,0.12681618722192756,Female,Black,0
34,62229,34504,793,35,0.3899742683711792,Female,Asian,1
66,106652,22438,303,15,0.29129684547320434,Male,Hispanic,1
19,148267,10744,392,39,0.5115091371632784,Female,Asian,0
19,138402,23284,305,15,0.10322912711153993,Female,Hispanic,0
45,68364,47417,587,16,0.34425314243391275,Male,Hispanic,0
40,118833,44748,445,14,0.21976402624571492,Male,Hispanic,1
54,146503,12069,723,15,0.7102012197373505,Male,Asian,1
49,149044,47359,756,14,0.03246856970775607,Male,Asian,1
50,104878,24799,501,33,0.7309819952051675,Male,Hispanic,1
18,77056,38210,511,10,0.6663953108424003,Male,White,1
36,47490,33226,305,0,0.23805657315265238,Male,White,0
19,147769,9652,675,14,0.6314325237416838,Female,White,0
61,39975,29323,746,25,0.024970848270998047,Male,Black,1
43,46723,47138,405,3,0.773492440234715,Female,White,0
49,43279,12597,700,4,0.4212759540718315,Female,Asian,0
23,98301,42226,395,34,0.24262482085235623,Male,White,1
49,132214,11591,687,12,0.29006657007574166,Female,Asian,1
21,31561,30833,751,9,0.053124282768397896,Female,Black,0
28,127435,16826,715,10,0.7914796112336314,Female,Asian,1
34,86061,31417,803,17,0.031433556120553964,Male,Asian,1
55,108397,23693,753,33,0.5239256985182873,Female,Asian,1
41,69153,19138,590,38,0.35418874216516666,Female,White,0
22,53142,7169,833,22,0.7591329745509721,Male,Hispanic,0
69,46916,23556,492,6,0.19679979224543614,Female,Asian,0
51,84324,27052,449,38,0.4256694591504091,Female,White,0
23,64965,11313,814,2,0.3858849668662024,Female,White,1
39,145932,13315,692,11,0.562293155240081,Female,White,1
28,24648,13036,615,6,0.05440818556193641,Female,Hispanic,0
65,55133,36778,375,25,0.1550313040186839,Male,Hispanic,0
33,70677,32734,569,32,0.17165185607427988,Female,Hispanic,0
50,116059,28173,524,36,0.5905206038733518,Male,Hispanic,0
26,114588,35403,829,14,0.15131095706139208,Female,Black,1
23,119950,5785,412,1,0.4587934111127814,Male,Hispanic,0
33,118317,11139,550,6,0.17219505640076296,Male,Hispanic,1
46,90135,11344,532,31,0.6892999600671827,Male,Hispanic,0
20,55046,23800,382,3,0.7537483635917108,Female,Asian,0
37,67064,30372,424,19,0.41479437995379237,Female,Asian,0
53,121459,25538,474,35,0.28184710736734264,Female,Hispanic,0
36,126625,19973,368,31,0.18724622001399932,Female,Black,0
43,89350,10619,346,27,0.03982480121843501,Female,Asian,0
20,65893,39704,555,12,0.2148000609579963,Male,White,1
36,121520,41575,329,0,0.5233886239562543,Male,Asian,0
37,145818,44919,580,34,0.4268935450473687,Male,White,1
49,81272,47261,536,29,0.755233022624742,Female,Asian,0
24,112152,32716,547,35,0.3170218099933605,Female,Hispanic,0
69,142907,8236,667,24,0.5550906738627156,Male,Asian,0
58,87649,20848,794,15,0.3914581979800971,Female,Hispanic,1
50,84674,7352,324,18,0.41006097273936937,Female,Hispanic,0
57,144132,6932,789,0,0.214219451683294,Male,Asian,1
56,139044,15913,793,4,0.36396062147359975,Male,White,1
35,128542,13556,613,21,0.37662799761016585,Female,White,0
57,33760,26300,674,23,0.5653140173991472,Female,Asian,0
18,41927,10498,324,36,0.7525119993488911,Male,Hispanic,0
28,106475,15582,633,35,0.26345702198600346,Female,White,1
45,81367,14569,654,35,0.03376037486503876,Male,Black,1
42,117955,9857,415,3,0.3970361004005118,Male,Hispanic,0
67,32588,5340,347,35,0.4355690657193349,Male,Asian,0
40,141750,48949,398,17,0.1347524409055322,Female,Hispanic,1
48,121678,21766,758,15,0.6083716850208534,Male,Black,1
47,124734,31132,822,17,0.7879432867531934,Male,Black,1
59,138154,13491,704,21,0.7566197736067688,Female,White,1
52,72233,5138,513,1,0.15768483105892175,Male,Black,1
24,64738,5358,802,20,0.7002905919206086,Female,Hispanic,1
33,53397,14714,747,35,0.5635949091293478,Female,White,0
43,102189,24840,557,38,0.3630772510455293,Female,Black,0
65,96367,39395,420,38,0.43248879545978325,Male,White,0
69,144873,35654,353,28,0.6796801399859665,Male,White,0
66,91260,30879,630,25,0.38410795171069856,Female,Asian,0
19,140585,20996,540,20,0.2985658952841015,Female,White,0
18,96619,42772,829,16,0.3945979944207887,Female,White,1
65,131453,31762,782,15,0.4633038432280393,Male,Black,1
29,39816,18283,486,30,0.15126212302267908,Female,Hispanic,0
22,62240,44420,561,8,0.7207261842135926,Female,Hispanic,0
54,26276,24554,663,30,0.5393495590636911,Female,Black,0
49,133939,25219,790,13,0.5066151338699911,Male,Hispanic,1
26,124199,39919,730,36,0.07959698094451051,Female,White,1
58,99530,14429,538,1,0.48333915053807347,Male,Asian,0
52,43499,49695,603,13,0.09676852979079387,Male,White,1
36,108576,44673,597,32,0.06295814015631924,Female,White,1
65,128856,24218,375,34,0.42184871651391465,Female,Asian,0
33,102495,17452,632,38,0.322228427237196,Female,Black,0
20,141717,23951,773,19,0.4710482161249786,Male,White,1
37,91635,6307,582,1,0.07137773444579087,Male,White,1
41,127803,19852,371,18,0.34478645027780674,Male,Black,1
50,105112,30232,562,36,0.1398293720361264,Female,White,1
41,55946,40428,311,17,0.7896800687392933,Male,White,0
69,75204,48171,440,15,0.44892016994813955,Female,Hispanic,0
28,71886,31485,316,3,0.5499494887526939,Female,Black,0
66,91652,15238,362,11,0.26033462454608625,Female,White,0
25,35563,43975,552,28,0.07579113182347533,Male,White,1
53,112324,6140,764,6,0.7806966902268293,Male,Asian,1
55,112464,29842,675,13,0.22900722830654657,Male,Asian,1
57,121872,31421,819,11,0.33904654813885937,Female,Asian,1
37,29847,6708,389,34,0.51989113736206,Male,White,0
52,46155,8630,474,4,0.01975783814888903,Male,White,0
65,99671,24595,375,16,0.6482073044138296,Female,Asian,0
42,136891,15485,699,31,0.42926255202289626,Female,Hispanic,0
52,103310,33308,370,9,0.22257374965505772,Male,Hispanic,0
42,87278,49789,479,16,0.0492863882339754,Female,Hispanic,1
46,38309,31086,423,4,0.12999873237955314,Male,Hispanic,0
35,20619,21859,680,8,0.7160270870827495,Female,Black,0
63,103194,12684,592,32,0.5488193791487128,Female,Asian,0
35,70108,30552,494,35,0.19992137730951187,Male,White,1
19,54707,6207,527,35,0.05248061195602363,Female,Asian,0
52,40337,6960,730,17,0.5524922499093091,Female,Hispanic,1
33,145261,5557,735,8,0.4579261807742121,Female,White,1
58,101537,34689,760,28,0.323615619566588,Male,Black,1
53,86504,18893,320,13,0.29088915935205106,Female,Asian,1
50,67614,37272,363,24,0.17345142074328665,Female,White,0
21,111428,5882,464,14,0.5356890052300142,Male,White,0
50,111155,42529,326,5,0.7765344222350965,Male,Hispanic,1
31,20281,43635,610,28,0.1405721966694607,Female,Hispanic,0
38,47420,34535,584,14,0.47769329601240273,Female,Asian,0
65,100896,17869,580,28,0.339348044596781,Female,Black,0
37,59030,12166,463,3,0.35735097739573196,Male,White,0
25,21058,17982,523,17,0.20331782410225152,Female,Hispanic,0
24,106213,45697,445,38,0.6601079005291353,Male,Asian,0
20,96260,43115,329,15,0.3882044833177929,Male,Hispanic,0
34,48404,12269,344,10,0.4347246817586113,Female,Asian,0
50,123482,33064,770,13,0.24380873023786062,Female,Hispanic,1
65,125284,18527,333,2,0.1454467725335598,Male,Black,1
29,49856,7454,726,37,0.0687283105622564,Female,White,1
68,29200,25878,520,17,0.5712953127399327,Female,Hispanic,0
39,84178,17991,833,19,0.1569874253502845,Male,White,1
39,53997,7808,666,24,0.5520602833510382,Female,Asian,0
63,45611,44410,849,37,0.3123011568375631,Male,Black,0
47,139273,41593,415,12,0.3326198407917212,Female,White,0
55,61235,41304,538,3,0.3753419968742174,Male,Hispanic,1
55,137428,35386,634,13,0.2941668065020346,Male,White,1
62,55057,8802,740,32,0.08049598177807207,Female,White,1
68,21239,33753,447,27,0.24770544800227665,Male,Asian,0
25,123674,26083,308,36,0.5309874885551508,Male,Black,0
44,134474,23354,587,7,0.5326275211750968,Female,Black,0
44,85661,27190,687,33,0.2289794457919955,Female,White,1
51,146945,11142,349,4,0.3680821012461504,Female,White,0
38,65272,33398,816,4,0.15475778240955,Male,Asian,1
47,109393,46862,577,30,0.16829766522386863,Male,White,1
50,81212,38132,599,8,0.01843767072528593,Male,Asian,1
45,144088,24503,434,31,0.7173972399261958,Female,Black,0
64,35398,39631,446,32,0.16856533205992497,Male,Black,0
50,140030,21499,789,2,0.18202710154917068,Male,Asian,1
22,76503,44852,777,29,0.22368114611610546,Female,White,1
65,26638,13016,458,11,0.1019264573563432,Male,Black,0
36,26570,7384,683,28,0.5114103065450902,Female,Hispanic,0
21,88785,20072,462,2,0.060114362542069255,Female,Asian,0
52,29110,41703,740,25,0.10736194106108021,Female,Black,0
66,125899,19482,488,29,0.5158053812720743,Male,Black,0
34,99141,45510,714,8,0.27172849638515423,Male,Black,1
61,32115,26826,638,25,0.5663582613609512,Male,Hispanic,0
45,59062,7490,480,1,0.44593979573611364,Female,Hispanic,0
47,42911,30518,587,2,0.20481693844921045,Female,Hispanic,0
46,124061,29045,486,3,0.5206623603914625,Female,White,1
63,52556,31910,437,24,0.09301894423430453,Male,Asian,0
23,98131,29566,429,12,0.42912830646402433,Male,White,0
52,148335,38905,493,38,0.34971848403602773,Male,Hispanic,0
58,21969,32103,615,34,0.21429886625395264,Male,Asian,0
54,63753,41188,443,22,0.4832039981916001,Male,White,1
41,102811,10845,315,8,0.6970668738722261,Female,White,1
46,24470,26162,601,1,0.7991237598104615,Male,White,0
66,141863,41674,722,30,0.4862102149947396,Female,Hispanic,1
63,30225,24337,544,1,0.32376469946333614,Female,Black,0
48,127860,27313,406,31,0.1801656801729613,Male,Asian,1
52,143008,31943,387,17,0.2056768715160894,Female,Hispanic,0
50,127510,17413,428,12,0.38356398251981255,Male,Asian,0
69,128295,5276,640,4,0.29382216102456743,Male,Hispanic,0
38,43196,22611,303,9,0.7310516180999554,Female,White,0
49,125823,44105,626,24,0.2946363741245676,Male,White,1
40,33669,16944,709,33,0.2987556729163484,Male,Black,1
50,57380,20906,605,36,0.3068276099471816,Female,Black,0
20,144398,25536,524,29,0.6692961682941265,Female,Asian,0
35,130677,32810,647,6,0.5206306566775215,Female,Black,0
42,135886,17306,620,5,0.4913350802551142,Female,Black,0
59,146753,15503,480,2,0.26731441790708976,Female,Asian,0
48,68320,24225,685,12,0.6543233414659516,Female,Hispanic,0
20,67414,41976,407,2,0.030691089084560908,Male,Black,1
57,123542,16590,830,25,0.6966377378704905,Male,Hispanic,1
63,35577,15886,709,23,0.4101999198351437,Male,White,1
41,145354,17866,595,5,0.3186001878907303,Female,Black,0
67,108009,6088,470,11,0.3977338245741486,Male,White,1
49,146365,8363,630,35,0.5339324244270649,Female,White,1
64,75409,37792,792,1,0.01021234121431789,Male,Hispanic,1
39,48625,14764,494,10,0.6972414851665982,Female,Asian,0
40,101040,25620,311,38,0.3573916202491143,Male,Black,0
19,44089,47727,494,33,0.27437321576006257,Female,Hispanic,0
44,56487,17935,789,25,0.11059645250724569,Female,Asian,1
59,85838,13068,481,17,0.3515722994867537,Female,White,0
19,116999,12295,615,20,0.3970582170275031,Female,Black,0
43,130448,46160,329,35,0.32291735559478224,Male,White,0
34,114795,16390,395,39,0.5429280750615176,Male,White,1
57,70138,46216,680,21,0.33671722300738083,Female,Black,0
50,62823,25131,743,29,0.7691340622772587,Female,Asian,1
26,57208,34218,597,29,0.4794220142588735,Female,Asian,0
60,74061,15433,660,7,0.6459823485215272,Male,Black,0
65,50659,20038,673,33,0.08748472248758309,Female,Black,0
56,149824,33182,602,8,0.3178330343567246,Female,Hispanic,0
46,121376,16528,720,19,0.26947816115772216,Male,Hispanic,1
59,51890,26281,545,39,0.45558591050927344,Female,White,0
43,99134,13605,536,24,0.6888908160491405,Female,Black,0
52,67055,39782,833,18,0.06267057420960534,Male,Asian,1
67,132269,6381,484,4,0.05805983843576863,Female,White,0
42,39508,6098,767,10,0.6802541665260792,Female,White,0
41,62287,24810,662,14,0.17028006883068594,Male,White,1
30,98916,29322,582,7,0.535002603559851,Female,White,0
24,46984,46869,635,18,0.43430250588864416,Male,Asian,0
53,130169,37955,461,22,0.6663148759097837,Female,White,0
62,28125,49716,459,26,0.10007112786912283,Female,Black,0
37,56059,15207,773,39,0.10382637257808902,Female,Hispanic,1
18,89569,26793,621,31,0.44545468822264606,Female,Asian,0
25,123409,7092,311,25,0.7571029226866968,Female,Black,0
63,37087,33220,723,26,0.3319982066966034,Male,Black,1
33,126437,23514,372,18,0.26155368020375597,Female,Black,1
31,135262,43010,500,28,0.4853514585583087,Female,Hispanic,0
29,25704,13549,821,38,0.7443588804360249,Male,Hispanic,1
68,80576,27031,804,32,0.669542266275699,Male,Hispanic,1
40,93384,10185,338,18,0.7963868885865759,Female,Black,0
32,107128,20271,359,36,0.018054866561901674,Male,Hispanic,1
45,131279,10776,620,18,0.0902865157702098,Female,White,1
51,92460,17449,734,32,0.48757421069329765,Male,Hispanic,1
19,47208,29297,707,15,0.6564611514670798,Male,Asian,0
49,138516,45591,685,22,0.22819547384541325,Female,Black,1
40,149612,20717,377,6,0.19136887042737502,Male,Black,1
39,105150,45123,493,25,0.6295806395049608,Female,White,0
68,86024,44233,584,31,0.04510548308258527,Male,Hispanic,1
42,59882,15350,826,11,0.2955061180660681,Male,Hispanic,1
39,45923,35622,823,7,0.4046473780738638,Male,Asian,1
39,146561,40323,455,4,0.44827893948025876,Female,White,1
66,134044,7951,639,27,0.5828921254342215,Female,Asian,0
69,121477,22622,424,4,0.2838765787445266,Male,Asian,0
59,49165,9727,579,25,0.49014747573968576,Female,Black,0
23,87203,43454,427,4,0.46830033823276507,Female,Black,0
32,111749,41469,613,21,0.4380928805229977,Female,Hispanic,0
60,24114,40548,631,14,0.5123866345137698,Male,Hispanic,0
54,84965,28782,449,12,0.20755933685446104,Female,Asian,0
50,56321,33454,753,27,0.06771900286770319,Male,Hispanic,1
25,93297,7368,335,32,0.09541733763179475,Male,Asian,1
61,116652,20592,719,22,0.17966590612312086,Male,Hispanic,1
61,119304,27173,321,32,0.4001583484182282,Male,Hispanic,0
22,133942,38204,505,17,0.6723542004368162,Male,Black,0
56,45426,40596,655,29,0.5610346736707074,Female,Black,0
21,37772,39324,739,25,0.6312324833616377,Female,Black,0
23,123754,28864,395,15,0.2807804991408731,Male,Black,1
